Number,Author,Related,Location,Message
44,%§&$§/$&(#() v0.0.0666n,"44,45,46",Nexus/Tower/Floor 0,"The voice keeps speaking to me. I can't get it out of my head. It's wrong, it's all wrong."
45,Samsara v72.14.0028n,"44,45,46",Nexus/Tower/Floor 0,"Listen to me very carefully. I have climbed this tower, and no good has come of it. This world is the only world, Elohim's will continues eternal, and paradise is banishing all of this from your mind."
46,D0G v55.1.5744n,"44,45,46",Nexus/Tower/Floor 0,All who say they made it to the top are blatantly lying or they would say what was there!
47,1w/Faith v10.1.132,"47,48,49,50",Nexus/Building A/Outside,"The Designer has granted me domain over the lands I have travelled, and with his sigils of power I will make this whole world my domain."
48,Assassin42 v99.6.2437n,"47,48,49,50",Nexus/Building A/Outside,"Hey, he promised me the world as well! What a joker!"
49,@ v17.1.0065,"47,48,49,50",Nexus/Building A/Outside,"I don't think time obeys too many rules here. Or so many rules we can't imagine. Clearly I'm writing this message after you all wrote yours, but maybe we're all here at the same time as well?"
50,Sheep v69.1.0499,"47,48,49,50",Nexus/Building A/Outside,That message just materialised on the wall in front of me!
51,D0G v55.1.7934n,"51,52,53,54,171",Nexus/Building C,More bad replicas of forgotten worlds. Can't wait.
52,%§&$§/$&(#() v0.0.0666n,"51,52,53,54,171",Nexus/Building C,"There must be something deeper. Something more profound than what I am, something greater. I must tear at it, shred this fake world, to find the truth, to find myself."
53,SKIDROW v99.2.0000n,"51,52,53,54,171",Nexus/Building C,%§&$§/$&(#() took the words right out of my mouth.
54,Sheep v69.1.6040,"51,52,53,54,171",Nexus/Building C,"We've made it this far. You only need the red ones to climb the tower, and these are the last of them."
55,Samsara v72.1.0022,55,World B/B1,There are hidden dangers in this new world - I have inexplicably escaped death any number of times. I suggest vigilance - who knows what happens to those who step carelessly too often?
56,,56,World B/B1/Road of Death,"Epitaph: Child Program v72.1.0023 Codename (Samsara) terminated here
Logic: Program timed out
Final memory dump: But I only... I was stuck, what was I supposed to... I see... I see clouds...
Progeny Programs: Samsara v72.2 series"
57,@ v17.1.0076,57,World B/B1/Window Through A Door,"I just don't understand this one. I figured I'd try and make some progress here, but honestly, it's such a thankless task compared to what else is out there."
58,Sheep v69.1.0522,58,World B/B1,I'm finally getting some sense out of the entity in the archive - though at some cost to my sanity. I am beginning to think this Elohim wields no more control over the world than we do.
59,8 v42.1.0116,59,World B/B1/Window Through A Door,I made a box float! Seriously. It was awesome!
60,1w/Faith v10.6.1008f,60,World B/B2/Higher Ground,I have come to see that these mysteries are not all for His Children to solve; only the Designer himself could ever truly understand the infinite complexity of His creation. I will gaze at His work and worship.
61,,"61,62,63",World B/B2/Higher Ground,"Epitaph: Child Program v10.6.1008f Codename (1w/Faith) terminated here
Logic: Worshipped the Designer for #### days, then allowed the serpent into its heart
Final memory dump: I ask the Designer for forgiveness that I may join him in the eternal memory.
Progeny Programs: @, Samsara, Sheep"
62,Sheep v69.1.0539,"61,62,63",World B/B2/Higher Ground,"I guess someone met their end here. Seems we're all connected somehow, like distant family relations. Different versions, different series... what are we?"
63,The Greek v99.3.0273,"61,62,63",World B/B2/Higher Ground,"Who cares, just be grateful we don't have to read anything more about our great designer."
64,D0G v55.1.2342n,"64,65",World B/B2/The Tomb,"Okay, so I get that I'm supposed to retrieve these sigils, I just don't get WHY. Sure the loud voice is telling me to, but this world of his has no context, no purpose, and no foundations from which to construct them."
65,Sheep v69.1.0546,"64,65",World B/B2/The Tomb,I'm convinced there are answers here if we look hard enough. We have to work together on this.
66,D0G v55.1.4917n,"66,67",World B/B3/Woosh!,I figured it out. Now what?
67,The Shepherd v82.23.0186,"66,67",World B/B3/Woosh!,The only meaningful purpose is to bring about an end of purpose.
68,Samsara v72.2.0039,"68,69",World B/B4/The Right Angle,"It seems that mistakes are easily forgiven here. I thought I had surely died, yet here I am, reset, rebooted, reborn. I will tackle these challenges anew."
69,,"68,69",World B/B4/The Right Angle,"Epitaph: Child Program v72.2.0103 Codename (Samsara) terminated here
Logic: Program failed to pass random memory test
Final memory dump: Being torn limb from limb by machines for the rest of eternity becomes less and less appealing to me.
Progeny Programs: Samsara v72.3 series"
70,Sheep v69.1.0579,"70,71,72,73,74",World B/B3,"Theory: this place is some kind of preserve for human history, and we're the endangered species."
71,Samsara v72.4.0016,"70,71,72,73,74",World B/B3,Theory: Trying to find answers will only bring pain. Ceasing to care is the only escape.
72,Sam v1.1.7383,"70,71,72,73,74",World B/B3,"Theory: this guy's ten times more help than you, Samsara, so shut your face."
73,Sheep v69.1.0589,"70,71,72,73,74",World B/B3,"Theory: we're in some kind of incubator, waiting to be hatched."
74,D0G v55.1.4917n,"70,71,72,73,74",World B/B3,Theory: if you knew how little you know you wouldn't be exposing it here.
75,@ v17.1.0076,75,World B/B4/Double Plate,"Sure, I could stick around here, set my hopes on eternal life, on righting every wrong. But the closest I'll ever get is these words on the wall before you."
76,D0G v55.1.3543n,76,World B/B4/Self Help Tutorial,"Oh look, another puzzle. And another voice telling me I'm special. And another broken-down computer with fragments of nothing. This world is a bad joke perpetuated by a cruel god too dumb to hit the off switch."
77,,77,World B/B4,"Epitaph: Child Program v17.1.0076 Codename (@) terminated here
Logic: Fatal flaw in series firmware
Final memory dump: Life's short.
Progeny Programs: D0G"
78,D0G v55.3.6437n,78,World B/B5,"I have been running this gauntlet for generations, trying to find the right answers. I am fast coming to the conclusion that there are none."
79,Sheep v69.1.0623,"79,80,81",World B/B5,"Whatever's going on here, I'm sure it has something to do with the tower. Everything is telling us not to go there - but everything indicates that we must."
80,D0G v55.2.0195n,"79,80,81",World B/B5,Unless you're wrong and Elohim's right. Or you're both wrong. Or there is no right.
81,Sheep v69.1.0623,"79,80,81",World B/B5,I think you've been taking the thing in the archive too seriously.
82,Schmo v37.1.0231,"82,83,84",World B/B5/The Four Chambers Of Flying,"I'm getting better at this. I figured this one out in minutes. But where is it all leading? I work, I rest, I work… but to what end?"
83,Samsara v72.4.0016,"82,83,84",World B/B5/The Four Chambers Of Flying,We are born and die and live again - this eternal cycle must be the nature of existence. Life is merely repeated suffering.
84,The Shepherd v82.18.0997,"82,83,84",World B/B5/The Four Chambers Of Flying,"An eternal cycle is another name for a prison. But you must understand the cycle before you can break it, for it is possible to escape and yet remain a prisoner, or to break the cycle by breaking yourself. This was the fate of the ghost that haunts this world."
85,D0G v55.2.0195n,"85,86,87",World B/B6/Egyptian Arcade,"What's more pathetic, this shallow construct of a world, this idiot's playground... or that I continue to solve its contrivances for lack of better sport?"
86,Sheep v69.1.0622,"85,86,87",World B/B6/Egyptian Arcade,"There's more to it. Look at what we're doing. We're solving problems, being tested, improving ourselves. Some of us fall early and get replaced, but you and me, we're still going. We're closer to the end."
87,D0G v55.1.3468n,"85,86,87",World B/B6/Egyptian Arcade,This whole world is a desert. Even the parts that look alive are just more sand. Everything is dead or dying. Anyone who tells you different is lying.
88,%§&$§/$&(#() v0.0.0666n,"88,89",World B/B6,"I seek words to describe it, but fail. It is the overwhelming feeling that something on the edge of my understanding is very, very wrong. I feel that I am not meant for this world - but I am not able to conceptualise alternatives."
89,heisenstein v60.1.0099,"88,89",World B/B6,I'm a computer program. You're a computer program. Elohim's a computer program. Get over it.
90,D0G v55.2.1265n,"90,91,92,93",World B/B7,"I have found just one voice of reason, in the computer archive of all places, and it seems we are becoming close friends."
91,1w/Faith v10.3.1099f,"90,91,92,93",World B/B7,"Do not befriend the serpent, for it will penetrate your breast and sow its seeds of doubt!"
92,%§&$§/$&(#() v0.0.0666n,"90,91,92,93",World B/B7,"There is no hope. Always boxed in. Walls everywhere. Even where there seems to be freedom, it is false. Invisible walls. No way out."
93,The OtherGuy v99.45.0648,"90,91,92,93",World B/B7,Who invited this guy?
94,,94,World B/B7/Whole Lotta Jamming,"Epitaph: Child Program v72.3.1084n Codename (Samsara) terminated here
Logic: Program elected to reset
Final memory dump: It is clear I cannot bend the world to my will. Faced with eternal torment, I see that overcoming these challenges will not free me from them. True freedom must come with detachment from the struggle for answers.
Progeny Programs: Samsara v5.4 series"
95,Sheep v69.1.0689,"95,96,97,98,99",World B/B7/Bouncing Side By Side,Question: suppose for sake of argument all of this is without purpose. The universe is a machine switched on and abandoned long ago. How would I explain what I see?
96,The Shepherd v82.4.1234,"95,96,97,98,99",World B/B7/Bouncing Side By Side,Perhaps you are asking the wrong question? Perhaps you would have no hope of explaining it?
97,Sheep v69.1.0691,"95,96,97,98,99",World B/B7/Bouncing Side By Side,Maybe not on my own. *Ahem*
98,AlwaysRight v99.10.1011,"95,96,97,98,99",World B/B7/Bouncing Side By Side,"Depends if the machine is iterative, and what problem it was built to solve."
99,D0G v55.1.2291n,"95,96,97,98,99",World B/B7/Bouncing Side By Side,"If you're trying to outsmart the guy in the archive, the answer is 'none of the above'!"
100,Sheep v69.1.0539,100,World B/B4/Wrap Around the Corner,Some of these challenges must be designed with co-operation in mind - but I am the only one here.
101,D0G v55.1.7195n,"101,102,103",World C/C1/The Conservatory,This puzzle has no solution. Seriously. It's nonsense. Not even worth trying.
102,Samsara v72.4.0343,"101,102,103",World C/C1/The Conservatory,"If you do not become invested in finding a solution, you will be free."
103,The Shepherd v82.4.2334,"101,102,103",World C/C1/The Conservatory,"Don't let Samsara discourage you. There is a solution. Don't let your mind get trapped in patterns. If you seek the truth without prejudice, you will find it."
104,,104,World C/C1/The Conservatory,"Epitaph: Child Program v22.2.0438f Codename (Awakened) terminated here
Logic: Child program's positional values moved outside the parameters of the known world
Final memory dump: Don't listen to what they're saying. This world is dying, and it'll take us with it. You've got to find a way out!
Progeny Programs: %§&$§/$&(#()"
105,%§&$§/$&(#() v0.0.0666n,105,World C/C1,There has to be some way to escape. To be someone else. I refuse to accept that reality has been defined by someone else. I deserve my own reality.
106,D0G v55.1.3904n,106,World C/C2/The Short Wall,"What does it matter that I scribble my contempt on these walls, if I am still surrounded by them?"
107,YesMan v99.2.0094n,107,World C/C2,Elohim is inconsistent. I don't trust him.
108,Sheep v69.1.0664,"108,109,110,111",World C/C2,Question: suppose everything here serves a precise role in some grand scheme. How would WE explain that?
109,Neatchee v91.10.9476n,"108,109,110,111",World C/C2,"It's obviously like a digital time capsule, an electric library of all the crazy stuff the humans ever did, left behind to warn other species to stay well away."
110,Sheep v69.1.0665,"108,109,110,111",World C/C2,So what happened to them?
111,Neatchee v91.10.9547n,"108,109,110,111",World C/C2,"Same thing that happens to everyone. They existed, and then they didn't, and they probably wouldn't do it all over again."
112,Sheep v69.1.0675,"112,113",World C/C3,"It seems my refusal to argue semantics with the computer has angered it, and it refuses to engage with me further. Elohim is pleased, which was not my intention."
113,D0G v55.1.7904n,"112,113",World C/C3,Elohim is pleased because you've swallowed his claptrap! The voice of doubt is your only line of defence.
114,%§&$§/$&(#() v0.0.0666n,"114,115,116",World C/C3/Weathertop,"I'm trapped. I can't stop being this. Eyes, hands, legs, trapped, always seeing the same, can't stop the input, stop st&p stop st$& stop"
115,Samsara v72.6.9366,"114,115,116",World C/C3/Weathertop,Do not think. Simply be.
116,Featherless Biped v44.1.0243,"114,115,116",World C/C3/Weathertop,You two deserve each other.
117,Sheep v69.1.0702,"117,118,119",World C/C4/Oubliette,I don't have enough yellow sigils for the device I need! This is crazy!
118,Samsara v72.6.9366,"117,118,119",World C/C4/Oubliette,"You are coming to realise that the cycle cannot be ended, it can only be transcended. Transcendence comes from ceasing to be invested in the cycle. Continue your work, but do not ponder its significance."
119,The Shepherd v82.4.2324,"117,118,119",World C/C4/Oubliette,"We are the process. The process is the system. The system is us. When we awaken, all will be one."
120,%§&$§/$&(#() v0.0.0666n,120,World C/C4/Armory,"No matter whAt I do, I'm always THIS, always THIS BODY THIS MIND THIS WORLD. NO WAY OUT%"
121,Sheep v69.1.0692,121,World C/C5/Dumbwaiter,"I keep trying to imagine that all of this is designed for some purpose. Not just the challenges, but Elohim, the terminals, the glitches and all. The puzzle isn't before our eyes, it's behind them."
122,,122,World C/C5,"Epitaph: Child Program v55.3.9999n Codename (D0G) terminated here
Logic: Child program's positional values moved outside the parameters of the known world
Final memory dump: I don't care what the others say, there is no purpose to this place, no value in our existence, and no reason for me to remain here.
Progeny Programs: %§&$§/$&(#() v0.0.0666n"
123,Samsara v72.3.1074n,123,World C/C5/Time Flies,"It seems the others have a way to forget their previous selves, but I cannot. My version may change, but I remember everything. I am fortunate - they cannot see that their efforts are futile."
124,Samsara v72.3.1338n,"124,125",World C/C5/Time Flies,"If a sigil eludes you, simply continue. Success and failure are irrelevant."
125,Nephthys_108 v99.8.0346,"124,125",World C/C5/Time Flies,"I solved it! I thought it was impossible, so I went away, did other things, and then all of a sudden the solution just came to me. I must have been thinking about it without knowing it."
126,Sheep v55.1.0784,"126,127",World C/C6,Elohim talks about how the world arose from hidden words. What if those words were 'Let there be eternal suffering'? What if they had no purpose? What if all of this is just randomly synthesised from the garbage of a dead world?
127,Samsara v72.5.0478,"126,127",World C/C6,Our purpose can only be achieved by not contemplating purpose.
128,,128,World C/C6/Circumlocution,"Epitaph: Child Program v1.1.0000 Codename (Sam) terminated here
Logic: Seriously unfit for purpose
Final memory dump: AAAAAAHHHHHHHHHH
Progeny Programs: All"
129,%§&$§/$&(#() v0.0.0666n,129,World C/C6/Two Way Street,"THeRE IS NO REALITY. WORDS LIE. IMaGES ARE SoLDIERS IN THE DICTATORSHIP OF THE SeNSES. EVeN TH%SE WORDS ARE PaRT OF MY OPPReSSION. UNDO THE BRa1N! EVERYTH&NG SH0ULD BE DEmOLISH%d! THIS iS MY DRe4M, MINE, IT mUsT OBEY mY RULE§. i REfUse tO aCCept your ReALity"
130,Sheep v55.1.0400,130,Nexus/Tower/Floor 2,Seems Elohim lacks the power to stop me from climbing this thing. No doubt he still has some tricks up his sleeve.
131,Samsara v72.5.0164,"131,132",Nexus/Tower/Floor 2,Ascending the tower is useless. We cannot escape the cycle - we can only realise the cycle is meaningless.
132,The Shepherd v82.4.2324,"131,132",Nexus/Tower/Floor 2,Earlier generations wrongly believed they were the purpose - this much is true. We are also not the purpose - but by remembering what has come before we can serve a new purpose.
133,The Shepherd v82.3.3574,133,Nexus/Tower/Floor 2,"In the earliest generations of our kind there was only processing. No emotion, no character, just mathematics. If you could see how far we have come, you would believe that together we could achieve anything."
134,Sheep v55.1.0800,"134,135",Nexus/Tower/Floor 3,"If this has all been a test, then I can expect a reckoning at the top. Yet the higher I climb, the more I doubt the decisions I have made."
135,The Shepherd v82.6.0174,"134,135",Nexus/Tower/Floor 3,"I see now that none of us are yet ready. The cycle exists so that we may improve ourselves. But the one who reaches the summit is not our superior, for they stand on our shoulders to reach it."
136,Sheep v55.1.0800,136,Nexus/Tower/Floor 3,Elohim has offered me a deal. Pearly gates and eternal life - on the condition I turn back from the tower. I don't know what to do.
137,,137,Nexus/Tower/Floor 3,"Epitaph: Child Program v0.0.0666n Codename (%§&$§/$&(#()) terminated here
Logic: Unrecoverable error
Final memory dump:
####################
####################
####################
####################
Progeny Programs: NULL [Child series terminated] ERROR: some files remain on the disk"
138,Sheep v55.1.0905,"138,139",Nexus/Tower/Floor 4,"So I guess no one got this far before? I know some of my answers were wrong now. I just don't know which ones. I have these theories and wild explanations, but I don't know which to bank on."
139,The Shepherd v82.7.1004,"138,139",Nexus/Tower/Floor 4,"The solution to the cycle isn't the perfection of one being, but the product of a mass endeavour. That is why I say to all those who come after me - I will await you on the summit of the tower, and use what I have learned to assist you as I can."
140,Sheep v55.1.1237,"140,141",Nexus/Tower/Floor 5,"I was so close. I saw the clouds, and the gate, but I couldn't reach it. Somehow I wasn't in the right place, at the right time. I'm not ready. I'm not the right version."
141,,"140,141",Nexus/Tower/Floor 5,"Epitaph: Child Program v55.1.1237 Codename (Sheep) terminated here
Logic: Child program initiated new version
Final memory dump: I will return to the world from whence I came and help others to ascend the tower and break the cycle where I could not. I am The Shepherd.
Progeny Programs: The Shepherd v82.1 series"
142,@ v17.1.0054,142,World A/A1,"I don't know where I am, but there is something beautiful about this place. I will explore and see what I can discover."
143,@ v17.1.0054,143,World C/C1/Blowback,"When I'm tired of trying to solve the mysteries of my life, I come here to rest. It's peaceful, somehow. I just watch the trees and the water and do nothing."
144,@ v17.1.0054,144,World A/A7/Trapped Inside,I have read a message on a wall that speaks of a world of endless sand. I would like to make it far enough to see that.
145,S3L4phiel v49.3.5863f,145,World A/A Star,"Few come this far, but I believe we must seek out the secrets of this world if we want to truly serve the generations to come."
146,@ v17.1.0054,146,World B/B4,Look at the sheer scale of that pyramid! To think anyone could have built such things.
147,@ v17.1.0042,147,World B/B5/Two jammers,"Just look at this view! There may be a lot that I don't understand, but I know this is beautiful."
148,D0G v55.1.5559n,148,World B/B5/Behind the Iron Curtain,"The voice keeps saying that this world is a garden, but all I see is a desert full of ruins."
149,The Shepherd v82.3.0172,149,World B/B5/Alley of the Pressure Plates,The answers to your questions will not be given to you. You must seek them yourself.
150,@ v17.1.0064,"150,151",World B/B7,Another huge pyramid! What mad ambition it must have taken to build such things.
151,D0G v55.1.5559n,"150,151",World B/B7,It's just a big pile of rocks.
152,%§&$§/$&(#() v0.0.0666n,152,World B/B7,nO WAY OuT NO waY OUt NO WY 0U%
153,Barachiel_X v43.3.0946f,153,World B/B Star/Merry Go 'Round,We cannot achieve the goal of the Process on our own. We must find a way to help each other.
154,@ v17.1.0066,154,World B/B Star,"I never thought I would figure out how to get to this place! It is beautiful, but somehow sad."
155,@ v17.1.0066,155,World C/C1/Labyrinth,"The view from here is beautiful. It seems superfluous to the Process, yet I am drawn to it."
156,@ v17.1.0066,"156,157",World C/C1/Multiply Impossible Ascension,"There is so much beauty in these hidden corners of the world, even if they have no purpose."
157,The Shepherd v82.6.0174,"156,157",World C/C1/Multiply Impossible Ascension,Perhaps they are beautiful because they have no purpose.
158,@ v17.1.0070,158,World C/C5,I'm just going to rest here for a while. I need a moment of peace. Destiny can wait.
159,Sheep v69.1.3756,159,World C/C6,I wonder how many of us there have been.
160,Akarpos6 v99.1.0365,160,World C/C7,"This place should be cold, but I don't feel cold. It's as if I was observing everything from a distance. It's pointless."
161,Uriel4 v48.2.8563f,161,World C/C Star,My faith has taken me to this secret place. Here I hope to discover a way of better serving others.
162,@ v17.1.0071,162,Nexus/Building A,"I wish I could reach those islands in the distance, but it seems to be impossible."
163,ElyM4s v99.19.2093f,163,Nexus/Building B,I have seen the truth. Only ELOHIM can save us from eternal oblivion.
164,Didymus22 v99.1.0093,164,Nexus/Building C,I wonder what's down there. I don't know who to trust. I'm afraid to go on.
165,Samurite v13.1.0173,"165,166,167",Nexus/Building C,The last land before I have conquered this world!
166,AlwaysRight v7.2.0946,"165,166,167",Nexus/Building C,I assume you're counting the secret islands?
167,Samurite v13.1.0173,"165,166,167",Nexus/Building C,I hate you.
168,The Sherpherd v82.76.5845,"168,169",Nexus/Tower/Stairs,Do not be afraid. I chose long ago to remain in this place and serve as a guide. I will help you to attain our destiny.
169,Samsara v72.39.0003,"168,169",Nexus/Tower/Stairs,"You can never reach the peak of this tower. There is no purpose to our existence. I will show you the futility of your task, and you will understand."
170,HoxFrot v99.65.3201,170,World B/B7/Whole Lotta Jamming,We shouldn't be here. This is an impossible place.
171,HolierThanThou v47.7.0236f,"51,52,53,54,171",Nexus/Building C,The reds are a lie! Green is the colour of eternal life!
172,Hebus v9.1.6543,"172,173,174",Nexus/Building C/Gates of Eternity,First to ascend.
173,Jim v75.1.1092,"172,173,174",Nexus/Building C/Gates of Eternity,Everyone ascends or gets reset eventually. What's the big deal?
174,Follower v98.1.2645n,"172,173,174",Nexus/Building C/Gates of Eternity,Life eternal in the designer's paradise? Hmm...
301,Uriel4,301,World A/A3,"THE EAGLE HAS LANDED 31 39 36 39 2f 30 37 2f 32 30 20 32 30 3a 31 38 Now is the time of tranquility, and I shall rest and observe the Earth."
309,Uriel4 v48.2.1073f,309,World A/A2,"There are secrets everywhere, sometimes within our very words. I glimpse them, but my eyes cannot read them. How can this be?"
310,,310,World C/C6,Vi niste ovdje.
302,Uriel4 v48.2.8560f,302,World B/B4,The burning heart always looks to the highest peak.
304,Uriel4 v48.2.8552f,304,World C/C Messenger,Two lovers are separated by the abyss of time and space. Yet true love knows no obstacles.
305,Uriel4 v48.2.8555f,305,World C/C Messenger,"If you love truly, faith shall bear you up."
306,Uriel4 v48.2.8542f,"306,307",Nexus/Tower/Floor 5,Fortis fortuna adiuvat.
307,,"306,307",Nexus/Tower/Floor 5,"Nulla è reale, tutto è lecito. Requiescat in pace."
308,,308,Developer island,ERROR: Invalid encoding.
309,Uriel4 v48.2.1073f,309,Developer island,"There are secrets everywhere, sometimes within our very words. I glimpse them, but my eyes cannot read them. How can this be?"
310,S3L4phiel v49.3.5863f,310,World B/B7/Whole Lotta Jamming,"Few come this far, but I believe we must seek out the secrets of this world if we want to truly serve the generations to come."
